order_id,product_id,rating
O-561cZ9535,0,4.0
O-613fD79,0,3.0
O-336gA3,0,2.0
O-387dr4842,0,3.0
O-842GC3900,0,3.0
O-758hX8516,0,3.0
O-587HN6162,0,4.0
O-601uC2477,0,5.0
O-798UL9355,0,2.0
O-066CB3535,0,3.0
O-850NV3530,0,3.0
O-674ri5432,0,5.0
O-325UE6943,0,2.0
O-710hh1495,0,4.0
O-589ep5845,0,3.0
O-353ps6216,0,3.0
O-546wz9934,0,3.0
O-917ao3501,0,2.0
O-495Ae7765,0,3.0
O-110eJ8116,0,5.0
O-902IA1940,0,3.0
O-787HD4125,0,3.0
O-658DD3911,0,3.0
O-420fF5817,0,3.0
O-041go8295,0,4.0
O-312DM5989,0,4.0
O-778vE5278,0,3.0
O-758hY4165,0,4.0
O-344mI7798,0,4.0
O-406gc4396,0,3.0
O-403HS6075,0,3.0
O-961rH1948,0,5.0
O-894WP3189,0,5.0
O-794Tl6485,0,5.0
O-607Ab3400,0,3.0
O-840qe3812,0,4.0
O-904am8198,0,2.0
O-252rV8795,0,5.0
O-085wJ7851,0,3.0
O-610oy9462,0,4.0
O-959KK6946,0,3.0
O-673Ch8237,0,5.0
O-463tF8960,0,3.0
O-883qJ8820,0,4.0
O-854NZ1123,0,3.0
O-193vy5012,0,3.0
O-808JQ376,0,4.0
O-658lI3038,0,4.0
O-065cf1918,0,1.0
O-096iY778,0,4.0
O-142FO2807,0,3.0
O-907HL3849,0,4.0
O-981Uj8059,0,3.0
O-006Dr8395,0,3.0
O-345Rr9880,0,4.0
O-361or5336,0,5.0
O-178fX2906,0,4.0
O-071FR5365,0,1.0
O-791np5201,0,2.0
O-055VA3887,0,2.0
O-299Xt4109,0,3.0
O-521dM2629,0,3.0
O-515uI381,0,5.0
O-623cF7512,0,3.0
O-642Me5950,0,4.0
O-767gg4074,0,3.0
O-317LS4767,0,4.0
O-834Rq6847,0,3.0
O-881oM2992,0,4.0
O-322HR6080,0,3.0
O-626To5113,0,4.0
O-103Rt4285,0,3.0
O-970LP3742,0,3.0
O-557Ju7200,0,4.0
O-622OL1417,0,3.0
O-873mL1446,0,5.0
O-110lU7652,0,4.0
O-364kc2216,0,3.0
O-530Vf8533,0,4.0
O-798rA5481,0,3.0
O-613lp6935,0,3.0
O-305Fl7169,0,2.0
O-812kz1702,0,3.0
O-746ow4490,0,3.0
O-356Oi3551,0,3.0
O-683yS3445,0,4.0
O-919vv8122,0,4.0
O-356hJ1214,0,3.0
O-635OM4298,0,5.0
O-432TA1320,0,3.0
O-757Rl5377,0,4.0
O-652fT4295,0,3.0
O-379gF6882,0,4.0
O-615gZ5456,0,1.0
O-212ox1874,0,4.0
O-857OQ1669,0,3.0
O-763CG7434,0,4.0
O-225iD6140,0,2.0
O-056jU3529,0,4.0
O-351yT680,0,2.0
O-220rM1027,0,4.0
O-686im8619,0,4.0
O-524IJ1807,0,4.0
O-424Os7528,0,2.0
O-939RL4558,0,2.0
O-027pn6887,0,5.0
O-901OE4034,0,2.0
O-904xj2943,0,3.0
O-909bH9508,0,4.0
O-515UI2589,0,5.0
O-056fc8457,0,4.0
O-596xU7111,0,3.0
O-922te835,0,4.0
O-140Co8929,0,4.0
O-334Xo5418,0,2.0
O-055JT4970,0,4.0
O-939ve2809,0,4.0
O-717pz6045,0,4.0
O-305Js9609,0,4.0
O-126mX348,0,3.0
O-480jq1737,0,2.0
O-973qQ504,0,2.0
O-128aB5672,0,3.0
O-258CP660,0,4.0
O-385Id6601,0,4.0
O-289rK3841,0,3.0
O-859FA8759,0,4.0
O-750ty6766,0,5.0
O-335Dd7494,0,3.0
O-882ED1499,0,5.0
O-962Xg2364,0,3.0
O-473je1154,0,2.0
O-670TG1199,0,3.0
O-882Nu7661,0,2.0
O-812fc7027,0,4.0
O-911UZ5079,0,4.0
O-681dN1214,0,2.0
O-245aP5755,0,4.0
O-492tq758,0,4.0
O-397vk5121,0,2.0
O-970Vo8025,0,4.0
O-603wB6208,0,3.0
O-202aE3129,0,3.0
O-744UQ4705,0,1.0
O-943yx9595,0,3.0
O-319Xe5045,0,3.0
O-416mp6663,0,4.0
O-449kc3881,0,3.0
O-090eW4453,0,4.0
O-055we5904,0,4.0
O-234wy5005,0,5.0
O-295eI1364,0,5.0
O-325KL387,0,3.0
O-974Cj54,0,4.0
O-894EY8712,0,3.0
O-735pj3888,0,4.0
O-454SF2243,0,2.0
O-070dy6232,0,5.0
O-469Wm7070,0,3.0
O-427or8238,0,2.0
O-791cL4269,0,4.0
O-763lo1962,0,4.0
O-785kU6157,0,3.0
O-753Cr7470,0,2.0
O-981Wz6410,0,4.0
O-807sl8172,0,3.0
O-909YU1893,0,3.0
O-682Ma5096,0,3.0
O-983Yh5571,0,2.0
O-181sa3746,0,5.0
O-581nx5377,0,1.0
O-371iI5417,0,4.0
O-511Li9813,0,2.0
O-370eD3671,0,3.0
O-054VV7108,0,3.0
O-041In9739,0,5.0
O-335qs2858,0,3.0
O-002ZM9561,0,5.0
O-636vg6996,0,3.0
O-646qt3541,0,3.0
O-384RW6488,0,3.0
O-320ug6992,0,3.0
O-739Kw792,0,3.0
O-578ur3107,0,4.0
O-248yQ1892,0,4.0
O-557Hn646,0,3.0
O-217sJ9754,0,4.0
O-326Pq9409,0,1.0
O-625Iq9638,0,4.0
O-369ZM438,0,4.0
O-935Pm5907,0,3.0
O-781GL2953,0,4.0
O-328WF9355,0,2.0
O-546zC7428,0,4.0
O-836Xe125,0,4.0
O-045fb4038,0,4.0
O-711gW5620,0,3.0
O-089cA2941,0,4.0
O-185fV6444,0,2.0
O-575dv6020,0,5.0
O-057SN1030,0,5.0
O-233yK2558,0,3.0
O-588rl2698,0,2.0
O-257LN8437,0,3.0
O-258lq6444,0,2.0
O-465zS3138,0,3.0
O-773at9446,0,4.0
O-070mS7792,0,2.0
O-452dG5404,0,3.0
O-611vK9601,0,3.0
O-965PB2710,0,3.0
O-611go7564,0,4.0
O-574dJ7344,0,3.0
O-441uS4381,0,3.0
O-532xL2490,0,5.0
O-464on3614,0,3.0
O-738mr1642,0,4.0
O-363Hd1089,0,3.0
O-600UG4816,0,2.0
O-400KP6949,0,5.0
O-251HV2238,0,3.0
O-414Iy6716,0,5.0
O-659dv1903,0,4.0
O-331uX9533,0,4.0
O-912QC2521,0,3.0
O-669Ki4294,0,4.0
O-204CD3691,0,3.0
O-915DU8773,0,4.0
O-763bG8974,0,3.0
O-126mM7073,0,5.0
O-163AD2226,0,4.0
O-321zo9651,0,3.0
O-611oe6416,0,2.0
O-933um2450,0,4.0
O-997Jl614,0,4.0
O-997KF4533,0,3.0
O-397WH1326,0,4.0
O-846sS957,0,2.0
O-720Ro8370,0,5.0
O-500Rd3589,0,2.0
O-246uT2545,0,4.0
O-387QK6763,0,4.0
O-960fM7270,0,5.0
O-966Rq6288,0,1.0
O-313ct7170,0,3.0
O-862Az8541,0,2.0
O-458UD7180,0,2.0
O-688fe4782,0,4.0
O-703qz391,0,3.0
O-034lU8180,0,4.0
